id,count
3828,7052
3907,4169
4158,3953
3960,2629
3926,2545
4095,2374
4140,2296
3948,1967
3912,1838
3827,1642
3938,1568
3983,1556
3899,1538
3908,1538
3904,1442
3818,1417
3823,1393
3910,1313
4085,1239
3824,1233
3819,1212
3856,1190
3952,1189
3982,1185
3822,1183
3830,1182
3861,1130
3903,1114
4011,1106
3829,1096
3922,1093
3954,1092
3906,1083
3913,1075
3885,1072
3826,1067
3880,1066
3889,1059
4034,1055
3862,1042
3980,1040
3892,1035
3838,1019
3944,995
3915,984
3927,982
3814,971
3932,964
3868,940
3858,938
3925,938
3833,932
3888,928
3815,926
3839,921
4063,921
3853,911
3864,905
3863,904
3911,904
4099,904
3993,891
3895,888
3855,885
3940,878
3902,877
3978,873
3821,869
3987,862
3816,856
3877,856
3886,856
3896,850
3930,849
3946,849
3985,847
3941,841
3969,839
3831,832
3851,831
4016,831
3953,823
4042,818
3914,817
3820,811
3812,810
3967,804
3897,799
4093,796
3837,792
3923,792
3882,789
3890,788
4014,782
4024,777
3949,776
3825,775
3843,771
3990,771
3898,769
3943,768
3832,764
3970,758
3994,757
3917,756
3968,756
3854,751
3959,751
3884,748
3976,747
4012,746
3866,745
3979,742
3881,733
3956,733
3871,732
3887,730
3939,722
4077,722
4047,719
3876,717
3859,716
4005,716
3975,713
3995,713
3867,710
3869,710
3874,709
4045,683
3849,679
3900,679
3981,678
4028,678
3918,677
3842,676
4117,676
4007,673
3935,671
4026,670
4043,665
3950,664
4025,662
3817,661
3920,661
3847,659
4031,659
3929,657
3934,651
3846,647
3848,646
3955,645
3989,631
4003,619
3875,618
3850,614
4002,614
3860,612
3986,612
4098,612
3901,611
3909,609
4033,601
3996,600
3836,596
4029,596
3945,592
4162,592
3845,591
3893,591
4023,591
3872,588
3965,587
3951,585
4072,583
4010,580
3916,579
3992,577
3933,576
4004,573
3852,572
4006,571
3972,570
3937,566
4035,565
3984,561
3870,560
3813,554
4000,554
3835,551
4020,551
3962,546
3966,546
4019,544
4106,544
3997,543
3971,541
3973,540
4015,539
3958,536
3921,529
4030,529
4040,529
4050,528
3883,527
3834,524
3894,524
4008,522
4104,519
4114,519
3974,515
4022,515
3942,513
3865,512
3991,511
3947,510
3919,509
3931,506
3964,506
4048,504
4084,500
3878,495
4111,494
4054,493
4100,492
4083,491
3857,490
3905,490
3891,484
4009,475
3844,469
3957,469
3928,468
4017,468
4027,468
4037,465
3961,462
4094,462
4118,460
3936,456
4056,456
4038,454
3879,451
4018,445
4032,444
4021,441
3977,440
4143,439
3988,435
4059,435
3873,434
3841,431
3924,429
4058,423
4130,419
4134,418
4151,416
4139,413
3998,410
4155,408
3999,406
4109,396
4108,392
4036,388
4001,387
4086,384
4092,384
4097,383
4057,380
4087,380
4064,379
3963,372
4039,369
4079,369
4102,365
3840,364
4044,364
4166,361
4049,360
4013,359
4069,356
4103,355
4062,354
4060,348
4046,347
4051,346
4070,342
4121,342
4041,341
4052,341
4096,341
4113,341
4145,336
4053,333
4101,329
4075,324
4156,324
4089,322
4137,321
4055,315
4081,311
4105,309
4074,304
4080,304
4061,300
4112,293
4115,291
4065,288
4123,284
4131,283
4150,278
4122,276
4125,274
4107,273
4073,272
4126,272
4119,270
4133,270
4090,268
4129,266
4078,265
4128,261
4153,261
4132,258
4168,258
4110,254
4068,250
4141,249
4120,244
4159,240
4144,239
4167,237
4157,236
4142,231
4149,231
4127,230
4138,230
4082,228
4135,225
4161,225
4154,224
4147,222
4071,220
4066,216
4171,215
4116,206
4160,205
4173,203
4088,200
4169,191
4165,188
4124,187
4148,185
4164,183
4067,182
4146,174
4076,167
4091,166
4174,163
4136,162
4152,159
4163,136
4172,105
4175,53
4170,40
